City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
240,Broome,US,42.2506,-75.833,70.7,83,90,1.99,overcast clouds
241,Zhezkazgan,KZ,47.8043,67.7144,67.08,31,68,17.02,broken clouds
242,Chegdomyn,RU,51.1167,133.0167,58.08,95,53,2.57,broken clouds
243,Karaton,ID,-6.3424,106.1045,78.96,91,18,0.98,few clouds
244,Baker City,US,44.7749,-117.8344,74.19,23,65,1.97,broken clouds
245,Yuryevets,RU,57.3201,43.1041,72.1,54,23,4.72,few clouds
246,Salym,RU,60.0625,71.4789,65.39,71,6,6.35,clear sky
247,Constitucion,CL,-35.3333,-72.4167,53.94,63,98,2.08,overcast clouds
248,Tefe,BR,-3.3542,-64.7114,80.71,89,75,4.61,broken clouds
249,Chiredzi,ZW,-21.05,31.6667,65.82,55,100,7.9,overcast clouds
250,Maldonado,UY,-34.6667,-54.9167,58.39,85,100,5.82,overcast clouds
251,Svetlogorsk,BY,52.6333,29.7333,79.5,39,74,6.71,broken clouds
252,Tromso,NO,69.6496,18.957,57.85,66,75,4.61,broken clouds
253,Jacareacanga,BR,-6.2222,-57.7528,88.27,55,100,2.33,overcast clouds
254,Seoul,KR,37.5683,126.9778,74.71,73,0,6.91,clear sky
255,Sao Domingos,BR,-13.3983,-46.3183,86.41,21,1,9.4,clear sky
256,Aksu,CN,41.1231,80.2644,75.04,38,64,5.5,broken clouds
257,Okha,RU,53.5739,142.9478,55.63,77,14,8.86,few clouds
258,Lotofaga,WS,-13.9764,-171.8578,74.98,78,74,19.95,light rain
259,Yangjiang,CN,21.85,111.9667,80.11,89,100,5.97,moderate rain
260,Bar Harbor,US,44.3876,-68.2039,86.94,77,75,5.99,broken clouds
261,Carson City,US,39.1638,-119.7674,79.12,46,1,0.0,clear sky
262,Kerema,PG,-7.9631,145.7785,78.4,91,99,5.44,overcast clouds
263,Nikolskoye,RU,59.7035,30.7861,71.49,83,92,8.97,overcast clouds
264,San Francisco,US,37.7749,-122.4194,69.04,90,75,1.01,broken clouds
265,Kaeo,NZ,-35.1,173.7833,52.32,92,60,5.86,broken clouds
266,Ust-Omchug,RU,61.15,149.6333,59.97,88,55,6.46,broken clouds
267,Nurota,UZ,40.5614,65.6886,80.69,24,0,19.04,clear sky
268,Nemencine,LT,54.85,25.4833,70.34,81,97,8.03,overcast clouds
269,Juegang,CN,32.3174,121.1855,74.98,89,89,6.13,light rain
270,Auki,SB,-8.7676,160.7034,75.43,89,90,5.1,overcast clouds
271,Hervey Bay,AU,-25.2986,152.8535,60.04,77,5,7.58,clear sky
272,Portland,US,45.5234,-122.6762,72.45,77,40,3.0,smoke
273,Kobryn,BY,52.2138,24.3564,80.91,56,83,7.11,broken clouds
274,San Quintin,MX,30.4833,-115.95,72.86,76,0,9.93,clear sky
275,Valparaiso,CL,-33.0393,-71.6273,50.23,94,75,4.61,mist
276,Buala,SB,-8.145,159.5921,79.63,85,93,10.13,overcast clouds
277,Touros,BR,-5.1989,-35.4608,86.9,51,37,18.5,scattered clouds
278,Northam,GB,51.0333,-4.2167,75.2,72,65,12.26,broken clouds
279,Kasongo-Lunda,CD,-6.4667,16.8167,90.36,35,69,2.48,broken clouds
280,Biak,ID,-0.9131,122.8766,75.24,86,23,7.36,few clouds
281,Kurilsk,RU,45.2333,147.8833,52.29,89,45,8.5,scattered clouds
282,Colorines,MX,19.2,-100.1667,69.73,76,71,0.76,broken clouds
283,Xingcheng,CN,40.6167,120.7167,69.31,77,1,4.97,light rain
284,Jalu,LY,29.0331,21.5482,99.68,20,0,13.42,clear sky
285,Roald,NO,62.5833,6.1333,60.94,77,75,6.91,broken clouds
286,Starobaltachevo,RU,56.0013,55.9213,77.59,52,49,11.01,scattered clouds
287,Monte Patria,CL,-30.6919,-70.9467,67.55,25,100,3.44,overcast clouds
288,Zabol,AF,32.25,67.25,80.35,8,0,11.43,clear sky
289,Diapaga,BF,12.0708,1.7889,81.45,72,95,5.79,overcast clouds
290,Grindavik,IS,63.8424,-22.4338,58.55,82,0,18.41,clear sky
291,Mugur-Aksy,RU,50.35,90.5,54.48,70,100,4.83,overcast clouds
292,Klaksvik,FO,62.2266,-6.589,52.72,93,100,15.03,overcast clouds
