City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,San Angelo,US,85.53,few clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
336,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
339,Guerrero Negro,MX,76.05,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
341,Santa Isabel Do Rio Negro,BR,82.06,overcast clouds,-0.4139,-65.0192,Hotel GSA
343,Griffith,US,77.99,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
344,Pangkalanbuun,ID,75.02,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
348,Vanimo,PG,78.44,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
349,Luena,AO,86.34,clear sky,-11.7833,19.9167,Hotel Kandamba
350,Lata,PT,75.92,broken clouds,40.1629,-8.3327,Casa Maquia
354,Namatanai,PG,79.29,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
355,Ca Mau,VN,80.6,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
356,Barreirinha,BR,84.9,overcast clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
360,Hattiesburg,US,88.29,clear sky,31.3271,-89.2903,Deluxe Inn
363,Lorengau,PG,80.89,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
367,Sehithwa,BW,83.98,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
368,Mizdah,LY,94.87,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
371,Fort Wellington,GY,84.24,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
372,Saa,CM,83.41,broken clouds,4.3667,11.45,Auberge Horizon 2010
373,Brookhaven,US,86.95,few clouds,31.5791,-90.4407,Americas Best Value Inn Brookhaven
375,San Juan De Los Morros,VE,76.93,light rain,9.9115,-67.3538,Hotel La Montaña
378,Torbay,CA,76.75,light rain,47.6666,-52.7314,Gallows Cove
385,Tigzirt,DZ,93.38,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
388,Hambantota,LK,80.56,overcast clouds,6.1241,81.1185,Bungalow 63
389,Bambanglipuro,ID,77.34,broken clouds,-7.95,110.2833,Puri Brata
390,Zhovkva,UA,83.41,broken clouds,50.0583,23.9726,Hotel Sobieski
391,Camapua,BR,89.67,clear sky,-19.5314,-54.0439,Comercial Estrela
394,Kasongo,CD,90.68,overcast clouds,-4.45,26.6667,Guest Hôtel
396,Key West,US,89.6,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
397,Tezu,IN,75.69,overcast clouds,27.9167,96.1667,Circuit House
398,Ishigaki,JP,82.83,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
400,Brownwood,US,84.2,broken clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
402,Marigot,MF,88.02,broken clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
403,Hamilton,US,79.41,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
405,Itigi,TZ,79.45,clear sky,-5.7,34.4833,Hostel San Sebastiano
408,Bengkulu,ID,77.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
410,Kralendijk,BQ,87.78,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
411,Volsk,RU,88.88,overcast clouds,52.0333,47.3833,Oasis Mini Hotel
413,Matara,LK,78.93,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
415,Labuhan,ID,79.68,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
419,Naze,JP,78.42,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
423,Westport,US,88.75,few clouds,41.1415,-73.3579,The Westport Inn
426,Kudahuvadhoo,MV,82.85,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
428,Macarthur,PH,78.22,broken clouds,10.8347,124.9953,"Irenea ""Yeyeng"" Demaculangan Moreno"
434,San Patricio,US,91.26,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
436,Ixtapa,MX,83.23,broken clouds,20.7,-105.2,Hotel Plaza Providencia
